"color","total_animals","adopted","adoption_rate","Transfered","transfer_rate","Returned","return_rate","good_outcomes"
silver,100,47,0.47,44,0.44,5,0.05,0.96
blue,3619,1630,0.4504,1598,0.4416,182,0.0503,0.9422
chocolate,86,45,0.5233,29,0.3372,7,0.0814,0.9419
flame,205,107,0.522,74,0.361,12,0.0585,0.9415
cream,804,367,0.4565,360,0.4478,28,0.0348,0.9391
orange,3406,1416,0.4157,1568,0.4604,208,0.0611,0.9372
brown,6897,2990,0.4335,3165,0.4589,303,0.0439,0.9363
lynx,486,239,0.4918,185,0.3807,31,0.0638,0.9362
black,7111,2976,0.4185,3314,0.466,312,0.0439,0.9284
lilac,83,35,0.4217,37,0.4458,4,0.0482,0.9157
white,1716,717,0.4178,757,0.4411,94,0.0548,0.9138
seal,371,151,0.407,158,0.4259,27,0.0728,0.9057
blue cream,43,21,0.4884,16,0.3721,1,0.0233,0.8837
gray,382,78,0.2042,221,0.5785,28,0.0733,0.856
